optimizer_step,total_loss,huber_loss,residual_magnitude_loss
1,0.11921872198581696,0.11921866238117218,6.3137135839497205e-06
50,0.10690901428461075,0.10651057958602905,0.03984374180436134
100,0.08457769453525543,0.08203582465648651,0.25418683886528015
150,0.06434103101491928,0.05972479656338692,0.46162325143814087
200,0.052888739854097366,0.047737326472997665,0.5151414275169373
250,0.046753495931625366,0.04181945323944092,0.4934042990207672
300,0.0434407964348793,0.03762464225292206,0.5816155076026917
350,0.03997574746608734,0.03416728973388672,0.5808458924293518
400,0.03325125202536583,0.026973644271492958,0.627760648727417
450,0.023452721536159515,0.015508187934756279,0.794453501701355
500,0.01851017028093338,0.00929300021380186,0.92171710729599
550,0.016352109611034393,0.006821690127253532,0.9530420899391174
600,0.01398688368499279,0.004692272748798132,0.9294611811637878
650,0.013613501563668251,0.004420560318976641,0.9192941188812256
700,0.014099843800067902,0.0041137333028018475,0.9986111521720886
750,0.012511422857642174,0.0027575595304369926,0.9753863215446472
800,0.012509066611528397,0.003201977116987109,0.9307089447975159
850,0.012144011445343494,0.0027344217523932457,0.9409589767456055
900,0.011709073558449745,0.0017737160669639707,0.9935357570648193
950,0.012280857190489769,0.002824655268341303,0.9456201791763306
1000,0.012312116101384163,0.0026511349715292454,0.9660981893539429
1050,0.012635926716029644,0.0033553270623087883,0.928059995174408
1100,0.012642290443181992,0.0037436415441334248,0.889864981174469
1150,0.0113827558234334,0.001556854578666389,0.9825901389122009
1200,0.010481894947588444,0.0007833123090676963,0.9698582887649536
1250,0.011208310723304749,0.0009728644508868456,1.0235446691513062
1300,0.010761032812297344,0.0009005432366393507,0.9860489964485168
1350,0.010627181269228458,0.0008505388395860791,0.9776642322540283
1400,0.010492001660168171,0.0010336802806705236,0.9458321332931519
1450,0.010597177781164646,0.0006592317949980497,0.9937946200370789
1500,0.010483959689736366,0.0007414664723910391,0.9742493033409119
