start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
19,58,1.0,1.0179999999999998,40,0,0,1,event_crossing,19.935323018554058,81.91577377450544,0.0,0.0
19,79,1.5,1.508,61,0,0,1,event_crossing,24.432945774524338,0.019809518545299352,0.0,0.0
20,38,0.5,0.5039999999999998,19,0,0,0,pre_event,3.7306117519619875e-06,0.0,0.0,0.0
20,60,1.0,1.0079999999999998,41,0,0,1,event_crossing,22.27010716560287,43.55902998178298,0.0,0.0
20,81,1.5,1.506,62,0,0,1,event_crossing,24.433264511073958,0.0,0.0,0.0
21,40,0.5,0.5249999999999999,20,0,0,0,pre_event,3.6879848721582675e-06,0.0,0.0,0.0
21,61,1.0,1.009,41,0,0,1,event_crossing,23.16542869522955,25.58092447012033,0.0,0.0
21,83,1.5,1.5190000000000001,63,0,0,1,event_crossing,24.4332645111826,0.0,0.0,0.0
22,40,0.5,0.5049999999999999,19,0,0,0,pre_event,3.4756417335302103e-06,0.0,0.0,0.0
22,62,1.0,1.017,41,0,0,1,event_crossing,23.625174702586563,16.41972342756469,0.0,0.0
22,84,1.5,1.524,63,0,0,1,event_crossing,24.433264510758423,0.0,0.0,0.0
23,42,0.5,0.518,20,0,0,0,pre_event,3.7953262790324516e-06,0.0,0.0,0.0
23,63,1.0,1.0090000000000001,41,0,0,1,event_crossing,23.88517830577816,11.304670769170965,0.0,0.0
23,85,1.5,1.5250000000000001,63,0,0,1,event_crossing,24.433264510825225,0.0,0.0,0.0
24,43,0.5,0.5199999999999998,20,0,0,0,pre_event,3.844499701699533e-06,0.0,0.0,0.0
24,64,1.0,1.007,41,0,0,1,event_crossing,24.058085658958337,7.859549215371825,0.0,0.0
24,85,1.5,1.5010000000000001,62,0,0,1,event_crossing,24.43326451074039,0.0,0.0,0.0
25,44,0.5,0.5150000000000001,20,0,0,0,pre_event,4.000961780548096e-06,0.0,0.0,0.0
25,65,1.0,1.0030000000000001,41,0,0,1,event_crossing,24.180988794467666,5.343704571569804,0.0,0.0
25,86,1.5,1.5050000000000003,62,0,0,1,event_crossing,24.433264511007014,2.842170943040401e-14,0.0,0.0
26,46,0.5,0.5210000000000001,21,0,0,0,pre_event,3.869086413033074e-06,0.0,0.0,0.0
26,67,1.0,1.002,42,0,0,1,event_crossing,24.31666281675606,2.5198691787028373,0.0,0.0
26,88,1.5,1.519,63,0,0,1,event_crossing,24.433264511182745,0.0,0.0,0.0
27,47,0.5,0.502,21,0,0,0,pre_event,3.960728577112604e-06,0.0,0.0,0.0
27,69,1.0,1.003,43,0,0,1,event_crossing,24.378904468061037,1.2130336566780153,0.0,0.0
27,90,1.5,1.5170000000000001,64,0,0,1,event_crossing,24.433264511806886,0.0,0.0,0.0
28,49,0.5,0.52,22,0,0,0,pre_event,3.844499474325858e-06,0.0,0.0,0.0
28,71,1.0,1.0190000000000001,44,0,0,1,event_crossing,24.409949070102883,0.5285305475060463,0.0,0.0
28,91,1.5,1.5100000000000002,64,0,0,1,event_crossing,24.433264511340294,0.0,0.0,0.0
29,50,0.5,0.514,22,0,0,0,pre_event,3.976374728154042e-06,0.0,0.0,0.0
