episode_id,model,start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,parameter_change_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
5201,nominal,31,64,1.0,1.013,34,2,4,15.149040439012957,0.8103962747220814,1.0013838733284208,3.3285853666576344
5201,nominal,31,82,1.5,1.5099999999999998,52,4,10,15.236583412287516,0.003778651226027978,38.62430987235547,348.69307694022126
5201,nominal,32,50,0.5,0.5169999999999999,19,2,3,11.444585613006142,28.21051623960066,2.8573034641810127,1.927349530479887
5201,nominal,32,65,1.0,1.004,34,3,5,15.161900988009046,0.676972207836966,2.665732871066481,193.00613663463523
5201,nominal,32,83,1.5,1.505,52,4,10,15.23664212976768,0.0025480141449165158,51.65011422870543,566.339282141319
5201,nominal,33,51,0.5,0.516,19,2,4,12.006075665237624,24.42710200355881,2.8585899534352266,0.05591115786657497
5201,nominal,33,66,1.0,1.001,34,3,5,15.173693598993173,0.5616386697290248,9.17183680547028,309.8144507381089
5201,nominal,33,84,1.5,1.504,52,4,10,15.236681533624976,0.0017118037323789045,67.62504074913655,694.5619809786377
5201,nominal,34,52,0.5,0.5230000000000001,19,2,4,12.68052890025252,19.88546640013484,2.790237010252531,2.0103890984012764
5201,nominal,34,67,1.0,1.0210000000000004,34,3,5,15.19177229841063,0.38470685962362283,26.294876269092622,364.3199684372174
5201,nominal,34,85,1.5,1.504,52,4,11,15.236710518935316,0.0010702930951365258,87.22839336682172,726.0500873163228
5201,nominal,35,53,0.5,0.5499999999999998,19,2,4,13.439167856726172,14.631468504693023,2.5851507794614106,3.9439745942217996
5201,nominal,35,68,1.0,1.025,34,3,6,15.20090061819395,0.3148137129507093,34.13025129042346,270.1853340665922
5201,nominal,35,86,1.5,1.5059999999999998,52,4,12,15.23672859324497,0.0006677010749144404,106.5349985039958,715.0594414853779
5201,nominal,36,53,0.5,0.5150000000000001,18,2,4,13.439167870902347,14.631468504692778,2.585151224679272,3.943975980079472
5201,nominal,36,69,1.0,1.0210000000000004,34,3,7,15.208965815644842,0.26020813477213506,39.5779663899152,175.73273263796793
5201,nominal,36,88,1.5,1.5260000000000002,53,4,14,15.236746960701941,0.00025520286019433693,143.6278389289979,658.9141943549348
5201,nominal,37,54,0.5,0.516,18,2,4,13.82656486173459,12.12353281851846,2.4384509450340186,4.584405990357567
5201,nominal,37,70,1.0,1.0230000000000001,34,3,8,15.216122092004852,0.21689195551949303,42.769854238074565,96.7238818377233
5201,nominal,37,89,1.5,1.5220000000000002,53,4,14,15.236751435506008,0.00016040274436945437,160.51415935645846,625.419269831481
5201,nominal,38,55,0.5,0.5219999999999998,18,1,4,14.179758831426707,9.550054674990696,2.254228853627837,4.978987972179567
5201,nominal,38,71,1.0,1.0349999999999997,34,2,9,15.223620704444711,0.174422230318086,43.808476226631214,24.153993699597834
5201,nominal,38,90,1.5,1.52,53,3,14,15.236754460191234,9.910644609533386e-05,177.55195399717542,587.5101528112182
5201,nominal,39,56,0.5,0.512,18,1,3,1.735381142431468e-06,4.763708598717931e-06,29.17332229512812,25.690927956452867
5201,nominal,39,71,1.0,1.0029999999999997,33,2,8,1.8941496998000819e-06,5.8740416122363465e-06,3.4534988907523307,107.22766427774604
5201,nominal,39,91,1.5,1.5150000000000001,53,3,13,3.5250185267006057e-06,1.8333344600145415e-05,14.885479579364397,20.858984504947188
5201,nominal,40,57,0.5,0.508,18,1,3,1.773432367026285e-06,2.7500415007593368e-06,29.333560871555836,6.1630264763985
5201,nominal,40,72,1.0,1.004,33,2,8,1.6972205424423824e-06,3.576874803459526e-06,6.121562828879133,86.06658804092211
5201,nominal,40,92,1.5,1.513,53,3,13,3.998522274402673e-06,1.8095400082629246e-05,15.162017915266068,9.876374072140294
5201,nominal,41,58,0.5,0.5129999999999999,18,1,3,1.8190347538517622e-06,2.3974802313791378e-06,28.907225407086703,13.322976106067841
5201,nominal,41,74,1.0,1.02,34,2,8,1.2649879089245868e-06,2.186478994305043e-06,8.88983500133417,57.304406543070314
5201,nominal,41,93,1.5,1.513,53,3,13,4.29809159269774e-06,1.7445237881552723e-05,15.177891509985129,0.5879143446877606
5201,nominal,42,59,0.5,0.5069999999999997,18,1,3,1.9352343721307593e-06,1.7910208544736406e-06,28.386684840614247,23.660923127553133
5201,nominal,42,75,1.0,1.0189999999999997,34,2,8,1.0670901921479116e-06,2.7542665463904233e-06,9.992351857221163,40.833961180387234
5201,nominal,42,94,1.5,1.5130000000000003,53,3,13,4.643200071697585e-06,1.5003318320216967e-05,14.967721072349534,7.506083245163609
5201,nominal,43,60,0.5,0.5089999999999999,18,1,3,2.0469411096490854e-06,1.158640527334005e-06,27.343695283944843,34.76631310221242
5201,nominal,43,76,1.0,1.021,34,2,8,8.883968276343663e-07,2.205478679684359e-06,10.748450071660514,25.203279237195204
5201,nominal,43,95,1.5,1.5089999999999995,53,3,13,4.847686424996874e-06,1.1967689517643366e-05,14.653999249944286,13.071742508351093
5201,nominal,44,61,0.5,0.5099999999999998,18,1,3,2.0952411151916074e-06,7.964692915513723e-07,26.308580569123723,41.40458771570101
5201,nominal,44,77,1.0,1.028,34,2,8,7.479279193799717e-07,1.244506549369366e-06,11.127049518649265,12.212890765405007
5201,nominal,44,96,1.5,1.5119999999999996,53,3,13,5.168042232557936e-06,1.007589394111429e-05,14.165289474635301,18.10035963849751
5201,nominal,45,62,0.5,0.5049999999999999,18,1,3,2.257957418681882e-06,5.592831372785684e-07,25.254106713439416,45.84667928956935
5201,nominal,45,77,1.0,1.0,33,2,8,7.443199012484605e-07,1.2445065493693678e-06,11.12704951960244,12.212890758365774
5201,nominal,45,97,1.5,1.512,53,3,13,5.435141561990943e-06,8.192750812840733e-06,13.55104145235779,21.937426725144945
5201,nominal,46,63,0.5,0.5059999999999998,18,1,3,2.297095472464631e-06,3.792288872576205e-07,24.024680285595608,49.17705627607886
5201,nominal,46,79,1.0,1.02,34,2,8,4.430803791964161e-07,5.940479610457388e-07,11.206525420041139,1.2510650606893279
5201,nominal,46,98,1.5,1.5139999999999998,53,3,13,5.619698026855735e-06,5.763658930512368e-06,12.917196671036141,24.37864416702432
5201,nominal,47,64,0.5,0.5680000000000001,18,1,3,2.376765824628233e-06,9.722620922412938e-08,19.571135254434008,52.394646983635994
5201,nominal,47,80,1.0,1.016,34,2,8,3.3522398850412714e-07,5.461957641764531e-07,11.097927650748376,5.715665416453987
5201,nominal,47,99,1.5,1.517,53,3,13,5.768438717596458e-06,4.133019043322539e-06,12.242014343942843,25.968549926667777
5201,nominal,48,64,0.5,0.5449999999999999,17,1,3,2.376756663745012e-06,9.722615573402871e-08,19.571135246645973,52.39464693462567
5201,nominal,48,81,1.0,1.0150000000000001,34,2,8,1.886227632029261e-07,4.4287881452227325e-07,10.877498874014151,10.019482465822335
5201,nominal,48,100,1.5,1.5199999999999996,53,3,13,5.889337438818157e-06,3.001542211575444e-06,11.543957204973001,26.84835051841351
5201,nominal,49,64,0.5,0.5190000000000001,16,0,3,2.3767923617315205e-06,9.722625216107729e-08,19.571135239491454,52.394646889623445
5201,nominal,49,82,1.0,1.016,34,2,9,1.6770721418749486e-07,1.3688996882357874e-06,10.121382762394632,28.00429330010553
5201,nominal,49,101,1.5,1.521,53,3,14,5.991569418666336e-06,2.6236287676686275e-06,10.497532135876803,38.75648257611371
