transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
28,2.039,0.026000000000000245,False,no_event,8.84668907019659e-08,8.84668907019659e-08,1.3682779353985097e-09,1.3682779353985097e-09,0.0,0.0,1.369215851809713e-09,2.5564136585387587e-08,0.0
29,2.065,0.0259999999999998,False,no_event,8.848439847497502e-08,8.848439847497502e-08,8.488711955578765e-10,8.488711955578765e-10,0.0,0.0,8.502354376105359e-10,1.592262163785385e-08,0.0
30,2.092,0.027000000000000135,False,no_event,0.052315143561486366,0.052315143561486366,1.9376021176387894,1.9376021176387894,0.0,0.0,1.9376021176385052,118.95708509054211,18.900000700354525
31,2.119,0.027000000000000135,False,no_event,3.234129053453216e-08,3.234129053453216e-08,2.804604804396149e-06,2.804604804396149e-06,0.0,0.0,2.804606111794783e-06,8.028596539588762e-06,7.003544340022927e-07
32,2.146,0.02699999999999969,False,no_event,1.3297949408297427e-09,1.3297949408297427e-09,3.7145636611057853e-06,3.7145636611057853e-06,0.0,0.0,3.7145628084545024e-06,1.716790950467839e-05,7.003548887496436e-07
33,2.176,0.03000000000000025,False,no_event,8.712174803804373e-08,8.712174803804373e-08,1.9338006325142487e-06,1.9338006325142487e-06,0.0,0.0,1.933801968334592e-06,7.325235969801724e-06,1.192092646817855e-06
34,2.204,0.028000000000000025,False,no_event,2.6583848011796363e-08,2.6583848011796363e-08,4.043084175009426e-06,4.043084175009426e-06,0.0,0.0,4.043085709781735e-06,2.0558955839078408e-05,8.642673243741683e-07
35,2.232,0.028000000000000025,False,no_event,4.843423084821552e-08,4.843423084821552e-08,4.098064792401601e-06,4.098064792401601e-06,0.0,0.0,4.098064806612456e-06,2.9228519451862667e-05,0.0
36,2.261,0.028999999999999915,False,no_event,5.861568297405029e-08,5.861568297405029e-08,3.944659546561979e-06,3.944659546561979e-06,0.0,0.0,3.94466075448463e-06,4.167384622633108e-05,0.0
37,2.2880000000000003,0.027000000000000135,False,no_event,4.058438207721338e-08,4.058438207721338e-08,2.482159764838343e-06,2.482159764838343e-06,0.0,0.0,2.48216041853766e-06,3.04072526660093e-05,0.0
38,2.316,0.02799999999999958,False,no_event,1.7644197214394808e-08,1.7644197214394808e-08,1.4076689964781508e-06,1.4076689964781508e-06,0.0,0.0,1.4076691030595612e-06,1.8324894938359648e-05,0.0
39,2.344,0.028000000000000025,False,no_event,1.1719407666532788e-08,1.1719407666532788e-08,9.266794549489532e-07,9.266794549489532e-07,0.0,0.0,9.266814124941902e-07,1.2919415382839361e-05,0.0
40,2.371,0.027000000000000135,False,no_event,1.184969278256176e-08,1.184969278256176e-08,7.179542933499761e-07,7.179542933499761e-07,0.0,0.0,7.179535668200288e-07,1.070124559987562e-05,0.0
41,2.4,0.028999999999999915,False,no_event,7.809148883097805e-09,7.809148883097805e-09,5.076939189052609e-07,5.076939189052609e-07,0.0,0.0,5.076921318902805e-07,7.844534053447205e-06,0.0
42,2.4290000000000003,0.02900000000000036,False,no_event,4.859543878410477e-09,4.859543878410477e-09,3.1496305652467527e-07,3.1496305652467527e-07,0.0,0.0,3.1496371022399217e-07,5.006326631473712e-06,0.0
43,2.459,0.029999999999999805,False,no_event,5.303490979713388e-10,5.303490979713388e-10,8.182418476110342e-08,8.182418476110342e-08,0.0,0.0,8.18248961920176e-08,1.2408426215415602e-06,0.0
44,2.484,0.02499999999999991,False,no_event,7.994344741746318e-09,7.994344741746318e-09,3.273051837338059e-07,3.273051837338059e-07,0.024337253321661877,0.973492626372888,3.2730469889941105e-07,1.323948325193669e-06,1.862645593320167e-07
45,2.513,0.028999999999999915,False,no_event,5.1979441195726395e-08,5.1979441195726395e-08,1.6379541474265125e-06,1.6379541474265125e-06,4.126825422516932e-07,2.9630464382535138e-05,1.6379525469290002e-06,4.3588528626514744e-06,5.140901038203083e-07
46,2.5420000000000003,0.02900000000000036,False,no_event,7.429889592458494e-08,7.429889592458494e-08,2.138732734024984e-06,2.138732734024984e-06,7.032373825114268e-07,4.1599476503506594e-05,2.1387311477383264e-06,9.363430820030771e-06,5.140898835520602e-07
47,2.567,0.02499999999999991,False,no_event,2.8475028557295445e-08,2.8475028557295445e-08,8.393214443458419e-07,8.393214443458419e-07,7.039899780823734e-07,3.250339284477377e-05,8.393224817382361e-07,1.581986282417347e-06,1.8626455755565985e-07
48,2.594,0.02699999999999969,False,no_event,8.64888534124475e-08,8.64888534124475e-08,2.4156924958163017e-06,2.4156924958163017e-06,1.0442322767468082,38.675279552883694,2.4156926627938446e-06,1.550730718236082e-05,3.501774443748218e-07
49,2.621,0.027000000000000135,False,no_event,9.831285296968417e-08,9.831285296968417e-08,2.5597212172101536e-06,2.5597212172101536e-06,0.2588790372436379,9.588121166358121,2.5597212314210083e-06,1.7518989409381902e-05,3.5017721700114635e-07
50,2.648,0.027000000000000135,False,no_event,1.093345645131194e-07,1.093345645131194e-07,2.6547343665583867e-06,2.6547343665583867e-06,0.02663949560274863,0.9866556836495874,2.65473457261578e-06,1.8912882183030888e-05,3.5017721700114635e-07
51,2.678,0.029999999999999805,False,no_event,1.171505346064805e-07,1.171505346064805e-07,1.2067116585967597e-06,1.2067116585967597e-06,0.0024789664969079622,0.08262082568415963,1.2067112322711182e-06,8.057101581471215e-07,5.960465472298893e-07
