start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
0,17,0.5,0.504,18,0,0,0,no_event,3.135916358587565e-06,8.70512138817503e-07,0.0,0.0
0,36,1.0,1.018,37,1,0,0,no_event,3.7234535739116836e-06,1.3562315608339759e-05,0.0,0.0
0,54,1.5,1.515,55,2,0,0,no_event,5.100126827528584e-07,6.629711705841146e-06,9.74102193934237,29.755502803507653
1,18,0.5,0.506,18,0,0,0,no_event,3.137153385068814e-06,6.933292127087043e-07,0.0,0.0
1,37,1.0,1.0180000000000002,37,1,0,0,no_event,9.124147596858506,85.26675050807984,0.0,0.0
1,55,1.5,1.5140000000000002,55,2,0,0,no_event,36.32443524793075,30.300412635469755,48.56685444519329,69.77630943881607
2,20,0.5,0.5289999999999999,19,0,0,0,no_event,3.425908857934701e-06,3.276316249412048e-07,0.0,0.0
2,38,1.0,1.0159999999999998,37,1,0,0,no_event,11.637643050665815,89.7676869253537,0.0,0.0
2,56,1.5,1.511,55,2,0,0,no_event,37.03731754679927,26.40303583663919,46.370274984984334,81.35479816771243
3,20,0.5,0.504,18,0,0,0,no_event,3.3021838135027792e-06,3.230740048820735e-07,0.0,0.0
3,39,1.0,1.019,37,1,0,0,no_event,14.166298060323697,90.30910356981042,0.0,0.0
3,57,1.5,1.5120000000000002,55,2,0,0,no_event,37.5850383519562,21.066177265173792,44.06688605597001,88.59188384939472
4,21,0.5,0.5030000000000001,18,0,0,0,no_event,3.1321503684011986e-06,2.350081445001706e-07,0.0,0.0
4,40,1.0,1.018,37,1,0,0,no_event,16.5440416306825,88.0645661418063,0.0,0.0
4,58,1.5,1.5120000000000002,55,2,0,0,no_event,38.0144278885399,15.335325837751071,41.46211180122459,93.02765511609826
5,22,0.5,0.502,18,0,0,0,no_event,3.34797368850559e-06,1.6108117506519193e-07,0.0,0.0
5,41,1.0,1.021,37,1,0,0,no_event,18.964425347510655,83.46151289862851,0.0,0.0
5,59,1.5,1.512,55,2,0,0,no_event,38.29889382559929,10.941000401977163,38.99975160543968,94.70616288224484
6,24,0.5,0.5250000000000001,19,0,0,0,no_event,3.129120841549593e-06,4.518673790698813e-08,0.0,0.0
6,42,1.0,1.0210000000000004,37,1,0,0,no_event,21.207341010231175,77.34190578106438,0.0,0.0
6,60,1.5,1.512,55,2,0,0,no_event,38.50955483347866,7.264153743290194,36.2598885874271,94.47803802468792
7,25,0.5,0.526,19,0,0,0,no_event,3.4163239206463913e-06,3.386759317436372e-08,0.0,0.0
7,43,1.0,1.0250000000000001,37,1,0,0,no_event,23.3061794126005,69.9612858708603,0.0,0.0
7,61,1.5,1.514,55,2,0,0,no_event,38.64331913735043,4.7772981160672146,33.6649168341975,92.67756473451452
8,25,0.5,0.5009999999999999,18,0,0,0,no_event,3.270710408287414e-06,3.309861540401471e-08,0.0,0.0
8,43,1.0,1.0,36,1,0,0,no_event,23.306179558247095,69.96128587086038,0.0,0.0
8,62,1.5,1.5179999999999998,55,2,0,0,no_event,38.731445620096906,3.038833948716899,31.065552510049926,89.63325478638366
9,27,0.5,0.5249999999999999,19,0,0,0,no_event,3.0639093893114477e-06,1.2169522278782097e-08,0.0,0.0
9,45,1.0,1.025,37,2,0,0,no_event,26.49229610202417,55.313955996870234,17.015274397571726,371.6199109434051
9,63,1.5,1.516,55,2,0,0,no_event,38.78459633820364,1.9685260030553877,28.74249567357119,86.0391433598434
10,28,0.5,0.5230000000000001,19,0,0,0,no_event,2.8308229502727045e-06,5.723450158257037e-09,0.0,0.0
10,46,1.0,1.0260000000000002,37,2,0,0,no_event,27.89079415589174,48.22405930379527,28.241964171744918,387.1272162422611
10,64,1.5,1.5150000000000001,55,2,0,0,no_event,38.81868017095644,1.2623483836574678,26.529739796157074,81.95392255691637
11,29,0.5,0.5189999999999999,19,0,0,0,no_event,2.6462084861123003e-06,2.3668746962357545e-09,0.0,0.0
11,47,1.0,1.0210000000000001,37,2,0,0,no_event,28.97475365281923,43.35836864891546,37.118344097131896,355.0551926716856
11,65,1.5,1.511,55,2,0,0,no_event,38.83990894990791,0.8164779033504601,24.50880122318183,77.72840734081824
