optimizer_step,total_loss,huber_loss,residual_magnitude_loss
1,0.12033708393573761,0.12033705413341522,2.681859541553422e-06
50,0.11256084591150284,0.11241861432790756,0.014222899451851845
100,0.08983971923589706,0.08692236244678497,0.29173535108566284
150,0.07687010616064072,0.07351043075323105,0.3359678387641907
200,0.06599514186382294,0.061189524829387665,0.4805617034435272
250,0.058567240834236145,0.05386852100491524,0.4698719382286072
300,0.05319444462656975,0.04722074419260025,0.5973702073097229
350,0.04586511850357056,0.03907625377178192,0.6788865923881531
400,0.034755486994981766,0.02660483494400978,0.8150651454925537
450,0.03520357236266136,0.02535419724881649,0.9849374890327454
500,0.028447648510336876,0.021852513775229454,0.6595134735107422
550,0.019594112411141396,0.009451085701584816,1.0143027305603027
600,0.014518504962325096,0.005562261678278446,0.8956243395805359
650,0.014046570286154747,0.004513273946940899,0.9533296227455139
700,0.013721419498324394,0.004571394994854927,0.9150024652481079
750,0.013477165251970291,0.003864432219415903,0.9612732529640198
800,0.012306621298193932,0.0027843525167554617,0.9522268772125244
850,0.01211092621088028,0.0022707751486450434,0.9840151071548462
900,0.013038970530033112,0.00390629144385457,0.9132679104804993
950,0.011987336911261082,0.002428690902888775,0.955864667892456
1000,0.011949964798986912,0.002360549522563815,0.9589415192604065
1050,0.011175109073519707,0.0015778947854414582,0.9597213864326477
1100,0.011673814617097378,0.0022411125246435404,0.9432702660560608
1150,0.011338897049427032,0.0020439638756215572,0.9294933080673218
1200,0.0118555948138237,0.0017916311044245958,1.0063964128494263
1250,0.012139206752181053,0.0029145306907594204,0.9224676489830017
1300,0.013783100992441177,0.0049849627539515495,0.8798138499259949
1350,0.011420628987252712,0.0014328130055218935,0.998781681060791
1400,0.010726303793489933,0.0013899989426136017,0.9336304664611816
1450,0.010318311862647533,0.0006601720815524459,0.9658140540122986
1500,0.011854062788188457,0.0017834346508607268,1.0070629119873047
