transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
0,0.903,0.020000000000000018,False,pre_event,4.515300133789424e-09,4.515300133789424e-09,1.823280518786774e-07,1.823280518786774e-07,0.0,0.0,1.823294901726058e-07,7.0845478035153064e-06,7.078051478259795e-07
1,0.922,0.019000000000000017,False,pre_event,1.4391048352990765e-08,1.4391048352990765e-08,6.012844120384386e-07,6.012844120384386e-07,0.0,0.0,6.012869597782355e-07,5.049084862207565e-06,6.258487630361742e-07
2,0.9400000000000001,0.018000000000000016,False,pre_event,4.0161353354051244e-08,4.0161353354051244e-08,1.9156403530118382e-06,1.9156403530118382e-06,0.0,0.0,1.9156382862206556e-06,5.941594054093002e-06,5.438923764700121e-07
3,0.9590000000000001,0.019000000000000017,False,pre_event,3.1469767236558255e-08,3.1469767236558255e-08,1.0325621762063975e-06,1.0325621762063975e-06,0.0,0.0,1.032561993241643e-06,2.3417542536208202e-06,6.258487630361742e-07
4,0.977,0.017999999999999905,False,pre_event,6.444668088079197e-08,6.444668088079197e-08,2.703554466521041e-06,2.703554466521041e-06,0.0,0.0,2.703552794969255e-06,1.4459372835062823e-05,5.43892433313431e-07
5,1.035,0.05799999999999994,False,pre_event,4.956625616614474e-07,4.956625616614474e-07,7.139817206791577e-06,7.139817206791577e-06,0.0,0.0,7.139816993628756e-06,6.122295502564157e-05,1.0281801507971977e-06
6,1.066,0.03100000000000014,False,pre_event,3.199863840563921e-08,3.199863840563921e-08,1.3107842775639256e-06,1.3107842775639256e-06,0.0,0.0,1.3107838228165747e-06,2.9488624306850397e-05,6.780027632657948e-07
7,1.092,0.026000000000000023,False,pre_event,3.894490419042995e-08,3.894490419042995e-08,2.8427620577531343e-06,2.8427620577531343e-06,0.0,0.0,2.8427635925254435e-06,4.009707134855489e-05,2.682208872784031e-07
8,1.1300000000000001,0.038000000000000034,False,pre_event,2.3314532882068306e-07,2.3314532882068306e-07,6.46973020934638e-07,6.46973020934638e-07,0.0,0.0,6.469722393376287e-07,1.7657194803177845e-05,1.2516975260723484e-06
9,1.181,0.050999999999999934,False,pre_event,4.309459882279043e-07,4.309459882279043e-07,2.4923110117924807e-06,2.4923110117924807e-06,0.0,0.0,2.4923106280994034e-06,1.5232351984195702e-06,1.3858080194495415e-06
10,1.215,0.03400000000000003,False,pre_event,2.8869328616565326e-07,2.8869328616565326e-07,1.7565584613521423e-06,1.7565584613521423e-06,0.0,0.0,1.756558077659065e-06,1.9040466611386364e-05,0.0
11,1.238,0.02299999999999991,False,pre_event,2.5756662580533884e-07,2.5756662580533884e-07,3.243694663979113e-07,3.243694663979113e-07,0.0,0.0,3.243699211452622e-07,2.2430305648413196e-06,0.0
12,1.2630000000000001,0.025000000000000133,False,pre_event,5.923720891587436e-08,5.923720891587436e-08,3.285341847458767e-07,3.285341847458767e-07,0.0,0.0,3.28536316374084e-07,3.969234882106321e-06,0.0
13,1.289,0.0259999999999998,False,pre_event,5.956576387688983e-08,5.956576387688983e-08,6.237444551970839e-07,6.237444551970839e-07,0.0,0.0,6.237461604996497e-07,1.0419417236562367e-05,0.0
14,1.345,0.05600000000000005,False,pre_event,2.5110387014137814e-07,2.5110387014137814e-07,3.645769197646587e-08,3.645769197646587e-08,0.0,0.0,3.645857304945821e-08,1.0485076700206264e-06,0.0
15,1.389,0.04400000000000004,False,pre_event,5.189726834942121e-07,5.189726834942121e-07,4.229124783705629e-08,4.229124783705629e-08,0.0,0.0,4.2291560475860024e-08,5.389983641634899e-07,0.0
16,1.43,0.040999999999999925,False,pre_event,1.720330828902661e-07,1.720330828902661e-07,7.588079142806237e-08,7.588079142806237e-08,0.0,0.0,7.58821272484056e-08,1.2549944266027069e-06,0.0
17,1.463,0.03300000000000014,False,pre_event,2.7887381293112412e-08,2.7887381293112412e-08,3.484205990389455e-08,3.484205990389455e-08,0.0,0.0,3.4843679941332084e-08,6.324165120474845e-07,0.0
18,1.499,0.03600000000000003,False,pre_event,3.265437271693372e-07,3.265437271693372e-07,2.0914654896841967e-08,2.0914654896841967e-08,0.0,0.0,2.0915905452056904e-08,3.564762440788627e-07,0.0
19,1.554,0.05499999999999994,False,pre_event,5.140420853422256e-07,5.140420853422256e-07,4.984599399904255e-09,4.984599399904255e-09,0.0,0.0,4.9838035920402035e-09,8.246976057613153e-08,0.0
