transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
0,1.055,0.02499999999999991,False,no_event,7.558014658570755e-09,7.558014658570755e-09,2.8553733266711845e-07,2.8553733266711845e-07,0.0,0.0,2.855382135180662e-07,1.974582914954226e-06,1.862645593320167e-07
1,1.08,0.025000000000000133,False,no_event,1.436467300663935e-08,1.436467300663935e-08,5.086223291428382e-07,5.086223291428382e-07,0.0,0.0,5.086220404848518e-07,1.2858831155426742e-06,1.862644474215358e-07
2,1.109,0.028999999999999915,False,no_event,7.075561825331533e-08,7.075561825331533e-08,2.042810930191763e-06,2.042810930191763e-06,0.0,0.0,2.0428118538973195e-06,7.774245432301541e-06,5.140901038203083e-07
3,1.135,0.026000000000000023,False,no_event,5.228162081039045e-08,5.228162081039045e-08,2.4091401868986395e-06,2.4091401868986395e-06,0.0,0.0,2.40914053506458e-06,3.224971425197509e-05,2.682208872784031e-07
4,1.162,0.026999999999999913,False,no_event,8.494282610627124e-08,8.494282610627124e-08,2.385730901721672e-06,2.385730901721672e-06,0.0,0.0,2.3857304682906033e-06,1.5043689415961126e-05,3.5017733068798407e-07
5,1.188,0.026000000000000023,False,no_event,5.1989218263770454e-08,5.1989218263770454e-08,2.825111437232408e-06,2.825111437232408e-06,0.0,0.0,2.8251110890664677e-06,3.887777796762748e-05,2.682208872784031e-07
6,1.215,0.027000000000000135,False,no_event,1.0772521363833221e-07,1.0772521363833221e-07,2.6423891341664785e-06,2.6423891341664785e-06,0.0,0.0,2.642387102014254e-06,1.8643924931893707e-05,3.5017721700114635e-07
7,1.241,0.026000000000000023,False,no_event,4.394098596094409e-08,4.394098596094409e-08,3.009141543941496e-06,3.009141543941496e-06,0.0,0.0,3.009140471021965e-06,4.1972303506554454e-05,2.682208872784031e-07
8,1.268,0.026999999999999913,False,no_event,1.281309778278228e-07,1.281309778278228e-07,2.7541280616105723e-06,2.7541280616105723e-06,0.0,0.0,2.7541267684227932e-06,2.0347556528577115e-05,3.5017733068798407e-07
9,1.293,0.02499999999999991,False,no_event,5.960362159385113e-08,5.960362159385113e-08,1.0606161708892614e-06,1.0606161708892614e-06,0.0,0.0,1.0606182456740498e-06,4.189249693808961e-06,1.8626457176651456e-07
10,1.318,0.025000000000000133,False,no_event,6.43432258584653e-08,6.43432258584653e-08,1.068948563442973e-06,1.068948563442973e-06,0.0,0.0,1.0689483502801522e-06,4.256312820416497e-06,1.8626445807967684e-07
11,1.345,0.026999999999999913,False,no_event,1.5615080428688088e-07,1.5615080428688088e-07,2.81831547965794e-06,2.81831547965794e-06,0.0,0.0,2.818316389152642e-06,2.124950930237901e-05,3.501773448988388e-07
12,1.371,0.026000000000000023,False,no_event,4.5550905269919895e-09,4.5550905269919895e-09,2.7886870270776853e-06,2.7886870270776853e-06,0.0,0.0,2.7886868281257193e-06,3.8603994255481666e-05,0.0
13,1.3960000000000001,0.025000000000000133,False,no_event,6.843379196652677e-08,6.843379196652677e-08,6.963227008327522e-07,6.963227008327522e-07,0.0,0.0,6.96320711313092e-07,6.088890813771286e-06,0.0
14,1.421,0.02499999999999991,False,no_event,6.650543582509272e-08,6.650543582509272e-08,4.980653613984032e-07,4.980653613984032e-07,0.0,0.0,4.980653045549843e-07,5.2070297442696756e-06,0.0
15,1.447,0.026000000000000023,False,no_event,5.580773176916409e-08,5.580773176916409e-08,9.76790516915571e-07,9.76790516915571e-07,0.0,0.0,9.767900053248013e-07,1.5779321842046556e-05,0.0
16,1.472,0.02499999999999991,False,no_event,6.388211204466643e-08,6.388211204466643e-08,2.3531629267381504e-07,2.3531629267381504e-07,0.0,0.0,2.3531654846919992e-07,2.991599473034512e-06,0.0
17,1.498,0.026000000000000023,False,no_event,7.372955224127509e-08,7.372955224127509e-08,4.410465237469907e-07,4.410465237469907e-07,0.0,0.0,4.4104450580562116e-07,7.466036095138406e-06,0.0
18,1.5250000000000001,0.027000000000000135,False,no_event,1.1997701676591532e-07,1.1997701676591532e-07,2.672418588645087e-07,2.672418588645087e-07,0.0,0.0,2.6724089252638805e-07,4.1168884052922294e-06,0.0
19,1.551,0.0259999999999998,False,no_event,8.231461379182292e-08,8.231461379182292e-08,1.8478243646313786e-07,1.8478243646313786e-07,0.0,0.0,1.8478093011253804e-07,3.226153367563711e-06,0.0
20,1.576,0.025000000000000133,False,no_event,6.192135515448172e-08,6.192135515448172e-08,4.3596600107775885e-08,4.3596600107775885e-08,0.0,0.0,4.359836225376057e-08,6.576690587678513e-07,0.0
21,1.603,0.026999999999999913,False,no_event,1.1676127087412169e-07,1.1676127087412169e-07,7.24793665085599e-08,7.24793665085599e-08,0.0,0.0,7.248146971505776e-08,1.1915282307484176e-06,0.0
22,1.629,0.026000000000000023,False,no_event,8.687732133694226e-08,8.687732133694226e-08,4.872319436799444e-08,4.872319436799444e-08,0.0,0.0,4.872481440543197e-08,8.758190048752112e-07,0.0
23,1.6540000000000001,0.025000000000000133,False,no_event,6.1586774791067e-08,6.1586774791067e-08,1.1401226629459416e-08,1.1401226629459416e-08,0.0,0.0,1.1400970834074542e-08,1.8297535575584334e-07,0.0
24,1.679,0.02499999999999991,False,no_event,6.154436960059684e-08,6.154436960059684e-08,7.350280384343932e-09,7.350280384343932e-09,0.0,0.0,7.35079197511368e-09,1.196919434676147e-07,0.0
25,1.705,0.026000000000000023,False,no_event,8.808410711935721e-08,8.808410711935721e-08,1.2768282431352418e-08,1.2768282431352418e-08,0.0,0.0,1.2767571888616658e-08,2.3376208702075019e-07,0.0
26,1.732,0.026999999999999913,False,no_event,1.1568397439987166e-07,1.1568397439987166e-07,7.53865947444865e-09,7.53865947444865e-09,0.0,0.0,7.539711077697575e-09,1.3122736852722028e-07,0.0
27,1.7590000000000001,0.027000000000000135,False,no_event,1.1563577118067769e-07,1.1563577118067769e-07,4.642572548618773e-09,4.642572548618773e-09,0.0,0.0,4.643425199901685e-09,8.146523966523489e-08,0.0
28,1.7830000000000001,0.02400000000000002,False,no_event,3.4423010220052674e-08,3.4423010220052674e-08,4.412754606164526e-10,4.412754606164526e-10,0.0,0.0,4.3996806198265404e-10,6.7779214463215e-09,0.0
29,1.809,0.0259999999999998,False,no_event,8.844722287904005e-08,8.844722287904005e-08,1.9574315501813544e-09,1.9574315501813544e-09,0.0,0.0,1.9559820430004038e-09,3.6421808791153865e-08,0.0
30,1.837,0.028000000000000025,False,no_event,1.4261672731663566e-07,1.4261672731663566e-07,9.638938536227215e-10,9.638938536227215e-10,0.0,0.0,9.647465049056336e-10,1.7151048914421096e-08,0.0
31,1.864,0.027000000000000135,False,no_event,0.052315143558303134,0.052315143558303134,1.937602117448364,1.937602117448364,0.0,0.0,1.9376021174490177,118.95708509391568,18.900000700354525
32,1.889,0.02499999999999991,False,no_event,3.1725903681945056e-08,3.1725903681945056e-08,1.043818770085636e-06,1.043818770085636e-06,0.0,0.0,1.0438173490001645e-06,2.323495834843925e-06,3.725291151113197e-07
33,1.9180000000000001,0.029000000000000137,False,no_event,2.528793174860766e-08,2.528793174860766e-08,4.138160306865757e-06,4.138160306865757e-06,0.0,0.0,4.138161784794647e-06,1.622976458293124e-05,1.0281799802669411e-06
34,1.944,0.0259999999999998,False,no_event,1.931580300151836e-07,1.931580300151836e-07,4.852761193774313e-06,4.852761193774313e-06,0.0,0.0,4.852761449569698e-06,6.506376269044267e-05,5.364420019304816e-07
35,1.972,0.028000000000000025,False,no_event,2.2744416128261946e-08,2.2744416128261946e-08,4.016675006823789e-06,4.016675006823789e-06,0.0,0.0,4.016675958951055e-06,1.9792391071860038e-05,8.642673243741683e-07
36,2.0,0.028000000000000025,False,no_event,5.016909199184738e-08,5.016909199184738e-08,4.271039060199655e-06,4.271039060199655e-06,0.0,0.0,4.271040367598289e-06,2.340789092158957e-05,8.642673243741683e-07
37,2.028,0.028000000000000025,False,no_event,3.8261305235209875e-08,3.8261305235209875e-08,3.1579694024230776e-06,3.1579694024230776e-06,0.0,0.0,3.157970006384403e-06,3.023780493549566e-05,4.440892098500626e-16
38,2.054,0.0259999999999998,False,no_event,9.93853745967499e-08,9.93853745967499e-08,2.9720156646817486e-06,2.9720156646817486e-06,0.0,0.0,2.972016446278758e-06,4.5368836936177104e-05,0.0
39,2.08,0.026000000000000245,False,no_event,6.849688816146227e-08,6.849688816146227e-08,2.0464669816533387e-06,2.0464669816533387e-06,0.0,0.0,2.0464659087338077e-06,3.256277136642893e-05,0.0
40,2.106,0.0259999999999998,False,no_event,4.6318405111378524e-08,4.6318405111378524e-08,1.382887194978366e-06,1.382887194978366e-06,0.0,0.0,1.3828886729072565e-06,2.2683241809318133e-05,0.0
41,2.1310000000000002,0.025000000000000355,False,no_event,3.4148115446441807e-09,3.4148115446441807e-09,3.3184222125726137e-07,3.3184222125726137e-07,0.0,0.0,3.318421768483404e-07,4.366104377595548e-06,0.0
42,2.1550000000000002,0.02400000000000002,False,no_event,2.4363089323742315e-10,2.4363089323742315e-10,8.778825666411194e-08,8.778825666411194e-08,0.0,0.0,8.778699900346965e-08,9.239509779490618e-07,0.0
43,2.181,0.0259999999999998,False,no_event,1.3939256859885063e-08,1.3939256859885063e-08,4.1562976971221133e-07,4.1562976971221133e-07,0.0,0.0,4.1563159314250697e-07,7.20226404382629e-06,0.0
44,2.207,0.0259999999999998,False,no_event,9.030145520227961e-09,9.030145520227961e-09,2.6917055784281274e-07,2.6917055784281274e-07,0.0,0.0,2.6916953022038115e-07,4.723194599876024e-06,0.0
45,2.233,0.026000000000000245,False,no_event,5.810306902276352e-09,5.810306902276352e-09,1.73150066729022e-07,1.73150066729022e-07,0.0,0.0,1.7314908529186823e-07,3.0704461551067652e-06,0.0
46,2.257,0.02400000000000002,False,no_event,2.964952727779746e-09,2.964952727779746e-09,1.2882359190502513e-07,1.2882359190502513e-07,16.26558375338147,677.7326561042671,1.2882390088009288e-07,1.932517932345945e-06,1.0430811769879256e-07
47,2.283,0.0259999999999998,False,no_event,3.89793513022596e-08,3.89793513022596e-08,1.569150322122681e-06,1.569150322122681e-06,4.6653770422879215e-07,2.4787558800198894e-05,1.5691522357030863e-06,2.0174525587890457e-05,2.682210009652408e-07
48,2.308,0.02499999999999991,False,no_event,2.0895640773233026e-08,2.0895640773233026e-08,6.97339674005093e-07,6.97339674005093e-07,6.149041681208274e-07,2.890462883442524e-05,6.973407202792714e-07,1.5230847338898457e-07,1.8626455755565985e-07
49,2.333,0.025000000000000355,False,no_event,2.675244559213752e-08,2.675244559213752e-08,8.174112942072043e-07,8.174112942072043e-07,6.916329379228262e-07,3.2245428315036406e-05,8.174092229751295e-07,1.1840207321256457e-06,1.8626433728741176e-07
50,2.358,0.02499999999999991,False,no_event,3.2278876460622996e-08,3.2278876460622996e-08,9.034691927922722e-07,9.034691927922722e-07,0.7378845578858394,29.515386330957767,9.034681482944507e-07,2.0743511868204223e-06,1.8626455755565985e-07
51,2.383,0.02499999999999991,False,no_event,3.7549284570559394e-08,3.7549284570559394e-08,9.636952142955124e-07,9.636952142955124e-07,0.41677253676815174,16.670904975158123,9.636938500534598e-07,2.77487202993143e-06,1.8626455755565985e-07
52,2.408,0.02499999999999991,False,no_event,4.263051778252702e-08,4.263051778252702e-08,1.0050926064764099e-06,1.0050926064764099e-06,0.07970428014645743,3.1881742469410597,1.0050932601757268e-06,3.2971357200040075e-06,1.8626455755565985e-07
53,2.433,0.02499999999999991,False,no_event,4.7576349970768206e-08,4.7576349970768206e-08,1.033159463759148e-06,1.033159463759148e-06,0.001502366666847257,0.06009731236980542,1.0331581989930783e-06,3.672980767532863e-06,1.8626455755565985e-07
54,2.462,0.02900000000000036,False,no_event,1.6352794318663655e-07,1.6352794318663655e-07,3.0782530444639633e-06,3.0782530444639633e-06,8.744370230172512e-07,3.951861719997396e-05,3.078251268107124e-06,2.1265377768031613e-05,5.140898764466328e-07
55,2.488,0.0259999999999998,False,no_event,3.477089194348082e-08,3.477089194348082e-08,3.0875537788688234e-06,3.0875537788688234e-06,6.101295194330144e-07,2.7164496998466348e-05,3.0875518888251463e-06,4.337076131832873e-05,2.682210009652408e-07
56,2.5180000000000002,0.03000000000000025,False,no_event,1.5620685189787764e-07,1.5620685189787764e-07,1.2450404227593026e-06,1.2450404227593026e-06,2.413712261098933e-07,1.632340115520492e-05,1.2450422843812703e-06,2.8298563847783953e-07,5.960463340670685e-07
57,2.549,0.030999999999999694,False,no_event,1.1490919860079885e-07,1.1490919860079885e-07,1.2907301396580806e-06,1.2907301396580806e-06,5.148805069430407e-07,2.4580020806297398e-05,1.2907306370379956e-06,2.3224546737310447e-05,0.0
58,2.577,0.028000000000000025,False,no_event,1.4652152913186e-07,1.4652152913186e-07,1.3717733082785344e-06,1.3717733082785344e-06,6.056529268855106e-08,6.618906695621263e-06,1.3717740046104154e-06,1.5284847449947847e-05,0.0
59,2.603,0.026000000000000245,False,no_event,3.889840627380181e-08,3.889840627380181e-08,1.242074318952291e-06,1.242074318952291e-06,3.424425111108792e-07,1.5232970497436327e-05,1.2420763368936605e-06,1.9648049118359268e-05,0.0
60,2.628,0.02499999999999991,False,no_event,5.8954583437298425e-08,5.8954583437298425e-08,3.0080846613600443e-07,3.0080846613600443e-07,1.9321963834309436e-07,8.687101569648803e-06,3.0081065460763057e-07,3.645530767926175e-06,0.0
61,2.656,0.028000000000000025,False,no_event,1.3518217656383058e-07,1.3518217656383058e-07,4.368445729596715e-07,4.368445729596715e-07,4.032093491884852e-08,4.473978179930782e-06,4.3684451611625263e-07,6.233591136606265e-06,0.0
62,2.6830000000000003,0.027000000000000135,False,no_event,1.1060569704568479e-07,1.1060569704568479e-07,3.3613238770158205e-07,3.3613238770158205e-07,2.5800812242656758e-08,1.0570956163746814e-06,3.361321603279066e-07,5.091669592616199e-06,0.0
63,2.709,0.0259999999999998,False,no_event,7.261769496835768e-08,7.261769496835768e-08,2.3402265014738077e-07,2.3402265014738077e-07,2.0538905122087262e-07,9.13401807167702e-06,2.340214564355847e-07,4.056871212299029e-06,0.0
64,2.736,0.027000000000000135,False,no_event,1.0738483524619369e-07,1.0738483524619369e-07,1.407355796345655e-07,1.407355796345655e-07,2.039061239617496e-08,8.11107256026844e-07,1.4073739862396906e-07,2.249606119164582e-06,0.0
65,2.763,0.02699999999999969,False,no_event,1.0653309345798334e-07,1.0653309345798334e-07,8.922421557144844e-08,8.922421557144844e-08,1.811613413236677e-08,7.099894503426185e-07,8.922316396819951e-08,1.4551092135661747e-06,0.0
66,2.789,0.026000000000000245,False,no_event,7.84457370173186e-08,7.84457370173186e-08,6.01957879098336e-08,6.01957879098336e-08,1.4134893893172903e-07,6.285729938326767e-06,6.019533316248271e-08,1.0779877310795882e-06,0.0
